study_hours,attendance,previous_score,assignment_score,sleep_hours,study_sessions,final_score
8.3,77,84,82,7.6,3,75.12
7.4,80,68,92,6.6,1,68.98
7.6,57,69,69,7.6,3,61.28
7.9,88,55,78,5.4,6,71.07
1.7,75,79,70,7.6,8,67.97
4.2,83,58,57,9.0,10,65.14
2.0,52,57,75,5.2,6,52.69
8.8,99,40,41,8.9,5,57.85
6.6,61,53,53,6.6,4,54.38
4.0,50,90,52,8.5,3,49.47
1.6,93,86,68,8.1,4,69.61
3.8,54,89,51,7.3,7,67.83
3.9,79,41,78,8.0,1,59.8
7.6,79,67,41,8.5,7,62.57
6.7,66,88,71,6.6,1,77.36
9.0,97,89,52,6.3,2,77.43
5.2,96,69,85,7.7,4,66.23
2.1,72,77,66,8.2,1,51.88
7.4,64,90,88,8.0,9,77.75
7.8,86,43,80,8.2,6,70.8
6.1,70,40,56,6.7,1,53.49
7.9,63,47,79,8.3,1,57.49
5.4,51,68,70,5.5,6,66.52
5.7,60,78,73,7.2,4,65.2
4.8,100,42,99,5.0,4,63.23
1.2,88,71,63,6.3,6,62.65
2.0,87,49,84,6.5,7,52.28
1.3,83,49,74,6.6,9,46.56
6.7,87,58,87,7.8,10,81.31
3.8,99,85,45,6.6,5,74.81
5.6,83,73,58,6.8,9,66.04
9.2,67,72,69,6.0,4,72.97
3.2,79,62,46,6.5,10,51.02
4.7,64,67,49,5.9,2,55.08
7.8,76,71,80,5.3,3,70.22
3.1,100,89,71,7.4,1,67.89
1.7,83,46,73,7.7,6,55.85
3.6,87,68,67,7.5,6,58.06
2.5,82,47,99,6.9,1,56.34
9.4,73,40,54,6.5,3,54.63
8.3,64,42,69,8.5,5,62.83
6.7,79,63,76,7.1,3,68.08
8.8,91,62,68,6.9,10,78.89
8.2,100,47,61,5.1,3,69.7
2.7,66,86,43,6.4,10,62.77
9.0,54,76,59,6.5,3,61.15
5.9,78,42,71,6.6,5,53.42
8.3,53,90,75,7.3,5,77.64
9.1,59,72,89,7.1,4,65.71
3.9,66,67,43,7.4,1,53.42
2.0,59,86,66,8.1,5,52.15
3.1,66,47,56,8.3,10,60.91
4.8,69,73,51,7.9,5,61.95
8.4,73,74,61,8.8,4,71.6
8.7,54,71,56,5.1,6,73.19
1.1,83,63,49,5.8,10,47.48
5.6,55,53,93,5.0,4,56.98
4.8,51,71,40,7.6,7,48.94
3.0,62,85,61,8.6,7,56.82
2.1,92,82,65,6.0,2,61.46
4.0,92,55,95,8.7,3,69.47
9.5,97,43,98,5.2,1,81.41
3.9,60,76,57,8.7,8,51.38
5.7,100,60,89,6.4,9,73.89
7.3,96,53,53,5.4,4,60.46
4.3,72,70,86,6.9,6,65.27
9.7,65,87,68,6.0,9,91.77
9.7,80,57,51,6.1,6,72.21
3.3,60,46,75,6.2,9,58.85
5.5,65,49,98,8.2,4,74.5
3.7,57,46,74,7.2,8,60.19
3.6,53,72,91,6.2,9,61.16
1.3,89,62,100,7.4,4,55.87
6.5,53,60,51,7.9,5,58.35
5.5,74,58,46,6.1,8,56.46
1.5,52,87,68,6.7,10,50.23
3.5,81,58,50,5.5,6,56.4
9.2,52,75,72,5.7,7,74.23
3.2,76,68,45,7.7,3,63.4
2.3,78,57,86,5.7,7,57.34
5.4,81,41,54,7.1,8,59.7
9.9,99,40,71,7.8,10,74.32
3.2,100,86,90,5.4,6,77.57
7.0,68,44,50,7.3,10,60.13
7.9,70,59,97,6.0,9,69.54
3.1,54,50,62,8.9,6,50.83
7.6,67,81,65,6.9,9,75.55
4.3,77,41,73,8.2,4,58.38
6.7,91,42,85,7.2,8,75.28
6.7,71,62,73,5.2,4,58.41
5.8,70,51,68,7.5,2,55.39
1.8,55,59,43,8.8,10,51.45
8.5,50,44,56,7.4,9,58.02
3.9,54,76,74,8.3,5,62.2
2.7,90,77,52,8.5,4,48.55
1.4,61,69,80,5.9,2,66.48
6.3,75,48,78,5.8,1,60.4
7.1,95,73,54,7.4,7,78.97
1.1,83,83,94,6.6,6,63.52
5.6,98,74,68,8.4,2,72.97
3.0,63,61,68,8.6,8,64.71
6.8,75,83,50,6.4,4,73.78
2.6,94,63,91,5.9,8,65.18
7.2,76,56,71,8.1,7,68.27
4.5,58,49,41,6.1,5,53.87
9.4,75,69,86,8.3,10,93.77
2.2,96,85,53,6.7,10,65.86
4.1,71,62,59,7.7,8,69.39
2.0,96,71,61,5.4,9,60.14
9.3,79,56,50,7.5,5,74.06
8.9,92,89,66,6.8,10,90.01
3.3,97,90,42,7.3,5,62.65
6.9,66,56,56,5.7,2,55.76
8.4,75,53,83,7.9,5,78.03
6.0,85,48,95,8.5,3,66.09
5.8,50,79,67,5.9,7,59.63
3.2,57,41,68,5.4,10,47.53
1.8,98,84,60,5.1,5,59.47
9.1,84,64,86,7.6,8,84.83
9.1,64,78,55,7.4,1,72.83
6.7,96,48,76,7.2,3,71.83
4.1,71,61,98,5.9,3,65.86
4.1,63,82,59,6.6,9,59.98
7.5,75,85,45,7.4,5,73.69
9.1,77,43,58,7.0,9,74.41
9.0,72,65,96,9.0,9,84.27
8.0,63,68,44,5.5,1,63.9
6.8,73,84,42,7.8,2,62.06
1.8,51,73,98,6.6,5,59.41
2.5,94,62,40,6.7,4,49.8
9.1,75,76,97,7.9,10,84.98
6.5,63,50,99,7.8,9,61.35
1.1,100,45,77,9.0,7,49.24
1.9,56,57,54,5.5,6,45.79
7.0,52,60,73,5.4,7,60.96
1.0,96,81,100,7.9,1,66.93
2.4,72,75,74,7.3,1,57.43
5.9,95,80,88,6.1,8,78.55
7.2,92,77,64,5.3,2,75.14
6.9,96,73,63,5.3,10,72.63
3.0,94,56,51,8.6,9,58.2
7.4,67,76,57,5.8,7,75.98
3.1,87,64,54,6.3,6,58.12
3.9,84,77,83,5.9,1,64.95
7.7,100,51,55,6.4,1,67.11
6.8,64,62,66,5.3,2,61.34
8.6,74,81,47,7.1,6,68.95
6.9,86,61,99,5.3,6,70.16
6.1,77,60,85,8.2,2,63.93
1.8,59,66,64,5.9,1,53.41
4.3,88,70,56,7.2,10,62.5
3.4,66,45,68,8.5,5,52.53
3.2,88,66,92,7.6,5,70.3
9.8,71,79,47,7.1,2,71.01
4.5,75,73,54,6.3,6,64.62
9.0,93,51,66,6.3,9,67.0
6.7,74,84,85,7.7,2,73.74
8.2,66,46,89,9.0,10,72.89
5.5,62,49,91,7.6,2,61.52
6.2,69,84,46,7.2,3,56.34
5.4,74,56,42,7.9,7,64.17
2.8,53,65,68,6.9,6,49.63
7.5,59,60,83,5.2,8,70.43
3.5,52,67,92,7.2,8,61.94
1.2,90,85,63,8.8,6,67.27
6.8,94,41,99,5.7,10,84.64
2.6,67,82,97,7.8,3,58.75
9.5,96,40,42,5.8,3,62.51
9.6,85,90,59,7.1,1,80.3
9.2,96,75,85,5.4,7,78.62
4.3,71,90,54,6.8,5,68.06
1.1,83,65,64,8.0,4,58.62
9.4,96,68,69,6.4,10,84.5
4.9,57,60,53,7.7,4,56.28
9.7,89,50,46,8.2,4,76.7
9.7,98,79,56,8.7,6,76.37
8.7,93,50,83,5.9,8,76.73
3.7,68,75,59,6.6,8,57.01
4.5,91,88,75,5.6,5,76.2
8.7,90,78,48,9.0,6,67.18
3.9,86,79,77,8.7,4,68.31
2.5,55,74,87,7.2,9,62.93
6.0,75,73,96,8.4,8,70.91
9.4,83,86,99,7.1,10,86.82
7.3,94,63,61,7.5,10,73.83
6.1,55,61,93,5.4,1,68.08
1.9,86,44,92,8.0,2,51.19
6.5,82,72,92,5.5,9,72.01
9.9,71,75,41,8.3,8,79.68
2.3,70,86,63,8.1,3,58.04
5.7,55,59,47,7.8,8,53.41
8.9,55,58,50,5.1,1,64.44
7.7,97,74,52,6.2,10,73.21
7.3,53,82,56,6.1,4,70.74
7.3,79,56,47,6.4,3,58.83
4.2,60,84,60,5.4,6,60.4
3.6,79,82,57,8.7,7,69.27
8.3,80,73,69,7.2,4,73.27
8.3,73,48,57,6.2,7,69.13
8.8,58,65,85,6.6,9,74.32
9.2,52,41,86,6.8,2,75.16
5.6,100,48,70,7.4,3,73.04
5.5,80,48,77,7.1,5,56.56
8.2,89,79,71,8.7,3,80.71
6.8,86,56,50,7.0,8,61.62
7.3,85,40,84,9.0,10,72.51
8.2,73,64,64,8.4,8,72.44
9.0,80,82,72,5.8,8,75.02
4.0,55,79,99,8.7,9,74.69
4.4,51,81,77,5.5,4,62.62
1.8,69,64,80,8.3,5,55.53
6.2,77,78,47,6.5,5,63.36
1.3,60,74,50,8.5,8,52.7
5.2,53,42,61,8.5,7,56.09
5.9,64,89,90,8.2,9,75.78
3.6,55,76,63,8.2,8,45.54
6.3,98,83,80,6.2,2,76.28
1.3,79,83,56,5.3,10,51.44
1.3,87,90,51,6.6,4,57.6
8.4,100,69,96,5.7,6,76.28
4.2,51,77,85,7.8,2,54.77
2.1,64,73,71,6.4,7,63.38
5.7,60,51,54,8.9,3,54.15
7.9,57,58,55,7.6,3,59.97
2.9,75,76,93,8.3,2,67.41
6.6,100,83,61,5.5,8,74.35
1.8,94,88,67,8.4,6,76.42
1.5,93,56,59,8.7,1,51.63
5.8,54,49,72,6.9,1,57.73
5.9,55,88,49,7.4,7,69.6
6.7,75,86,79,8.1,8,85.11
7.5,53,51,71,5.7,5,57.94
9.8,68,55,89,7.0,5,73.56
5.6,69,63,99,6.6,4,75.02
3.9,82,58,72,5.6,6,64.9
8.2,69,47,41,6.5,6,65.88
3.4,98,70,72,5.3,3,57.31
5.0,61,60,72,5.1,9,68.89
1.7,96,56,80,5.5,7,55.89
1.2,50,62,52,8.9,1,44.81
9.7,75,76,69,7.2,7,78.41
8.5,63,55,72,8.9,5,64.56
7.3,87,45,52,6.7,5,56.09
4.7,86,47,91,6.2,2,54.28
2.6,60,64,65,7.0,4,53.6
2.4,85,57,61,6.8,6,48.22
3.3,62,64,78,5.4,10,54.28
5.9,92,51,41,7.6,7,60.31
7.4,52,54,77,5.9,5,50.06
6.9,82,65,78,7.5,9,77.64
3.5,55,80,65,7.6,3,46.0
9.6,99,84,85,5.6,1,84.71
7.6,59,65,97,5.2,4,71.13
6.0,54,86,89,8.1,9,76.34
6.5,72,71,54,6.8,4,64.39
4.8,59,49,73,5.2,2,64.34
3.2,93,55,81,9.0,10,67.13
4.2,51,46,94,5.2,5,61.37
7.8,62,56,83,7.8,3,64.28
1.1,89,62,88,8.9,9,63.2
2.0,51,65,79,6.0,4,59.99
1.4,69,60,50,5.6,6,46.91
1.4,50,61,100,5.5,2,53.46
8.7,86,46,42,6.2,6,69.85
7.3,58,53,98,5.4,3,63.19
5.3,66,54,45,7.8,9,46.54
1.9,58,46,48,5.2,2,42.33
5.4,60,48,45,7.0,9,59.44
5.3,64,90,48,9.0,5,58.39
2.6,73,87,78,8.3,8,69.95
4.9,87,47,70,7.5,2,63.53
4.6,84,89,71,6.2,6,59.48
6.5,79,62,80,7.5,3,64.12
6.7,80,68,89,7.1,10,74.12
1.4,98,57,51,6.7,5,52.5
4.4,54,70,47,5.5,8,51.73
6.6,93,69,47,8.5,10,67.01
5.5,99,78,89,6.8,1,83.11
8.7,63,74,67,5.8,5,71.11
6.9,60,57,59,6.5,3,56.57
2.5,58,81,86,6.7,4,60.44
1.6,83,78,98,8.3,2,67.54
6.8,61,56,46,7.9,9,61.11
1.2,84,53,50,8.1,3,47.57
6.3,84,70,59,5.0,2,62.1
9.5,50,63,55,6.7,10,65.54
6.2,89,74,43,6.9,9,65.36
4.5,71,83,45,5.1,7,62.94
6.8,78,84,97,6.0,6,74.03
5.1,57,73,61,8.0,1,61.07
5.9,60,42,65,5.5,5,62.56
9.5,90,76,42,7.1,3,75.83
4.5,86,82,80,5.9,1,66.55
9.7,63,79,99,5.0,4,74.41
9.1,79,65,81,6.0,2,82.89
2.8,84,62,53,8.9,2,49.5
1.6,70,83,50,8.2,3,58.59
1.9,86,78,57,8.8,8,64.44
1.2,54,54,93,7.0,8,52.22
1.8,68,88,51,5.4,7,55.19
7.1,63,43,62,7.2,6,50.92
1.6,75,68,51,6.8,9,55.75
3.9,53,61,52,8.4,4,55.3
8.6,74,64,64,5.4,1,62.85
1.2,94,52,84,7.0,8,58.32
8.3,91,57,90,5.6,7,77.69
3.5,74,72,97,6.3,7,70.52
2.1,67,55,58,7.9,3,49.47
7.3,89,84,94,6.9,4,73.17
6.7,57,81,85,6.5,10,71.0
8.9,88,83,75,6.6,9,84.52
7.6,89,41,84,6.8,6,74.46
8.2,63,74,47,8.1,5,64.46
3.5,81,81,68,8.6,3,75.54
2.6,100,73,94,8.8,9,62.98
7.8,87,69,92,8.1,5,76.28
8.3,82,52,94,6.3,5,74.18
9.9,72,52,71,7.8,4,71.25
4.7,64,57,90,6.8,4,56.04
4.3,82,71,83,6.0,1,67.24
8.0,74,71,57,8.4,7,73.51
4.1,66,74,45,5.2,9,58.29
9.4,82,78,57,8.6,3,78.26
8.7,96,85,58,6.8,2,76.08
4.9,51,68,61,7.5,3,48.81
7.8,63,88,76,7.6,1,70.02
7.8,89,68,71,8.6,6,76.59
1.9,89,83,95,7.5,7,70.36
9.1,100,55,80,7.5,2,77.46
5.5,88,83,98,5.3,8,81.09
8.4,100,86,42,7.1,6,74.54
3.9,55,49,67,5.6,4,51.33
9.1,55,69,49,7.9,5,70.11
4.5,52,64,90,7.0,8,62.73
1.1,56,78,74,7.7,3,47.38
9.1,100,59,100,5.2,3,76.79
1.8,57,44,68,5.3,4,49.3
3.9,91,40,93,7.9,1,67.96
9.6,64,69,54,5.3,9,77.88
9.6,96,88,72,5.3,8,87.41
6.2,78,42,46,5.0,8,51.28
6.7,82,84,51,8.8,10,73.72
5.0,79,53,88,8.0,6,73.96
3.6,88,69,69,6.4,7,67.44
4.0,76,89,60,6.2,6,64.51
7.1,85,43,70,6.4,9,70.34
7.8,78,57,97,8.1,3,67.95
8.1,87,76,100,7.6,3,78.47
8.1,82,64,63,5.7,3,64.18
1.8,86,87,59,5.7,10,65.45
5.4,76,40,76,5.4,3,61.67
1.5,82,85,43,7.6,9,57.53
5.9,53,54,67,8.1,4,53.94
5.0,71,48,83,6.1,7,61.75
9.0,51,54,59,5.1,9,62.62
4.2,59,88,99,5.3,7,66.27
2.1,54,63,63,8.9,9,55.04
2.3,59,43,89,6.2,3,46.91
7.9,82,51,88,8.1,4,64.72
6.6,87,76,90,7.5,8,71.93
1.9,62,76,71,6.5,6,48.58
1.8,80,82,80,5.8,5,63.64
7.3,96,45,75,5.5,4,69.2
1.7,85,78,97,7.5,8,68.4
8.4,94,85,92,8.1,1,86.94
7.4,73,63,73,7.6,9,77.71
1.7,64,50,75,7.1,1,45.64
1.8,78,52,41,5.2,8,49.93
9.9,57,73,54,8.9,4,63.75
4.4,54,64,73,8.2,9,67.89
4.3,78,46,75,6.2,5,52.23
8.3,96,43,45,8.9,3,62.1
9.5,53,47,78,7.4,9,66.91
9.9,61,59,81,7.3,9,68.42
7.8,94,68,90,8.0,4,79.46
4.4,51,90,90,8.2,4,68.87
1.8,76,84,97,7.6,8,66.95
8.0,80,85,93,5.5,2,71.9
6.0,100,49,100,6.4,9,84.87
4.8,100,82,51,8.7,6,72.8
9.2,85,73,42,5.9,9,87.27
2.0,85,65,84,6.5,8,58.27
5.4,75,80,57,6.7,7,71.54
1.1,92,88,79,6.8,1,66.75
5.2,76,42,60,7.5,3,54.5
1.5,54,45,54,8.8,2,49.06
2.1,69,44,72,6.0,5,47.92
2.1,60,44,74,5.5,5,46.5
6.8,59,86,65,5.8,5,51.34
7.7,89,62,47,8.5,4,70.25
6.3,87,88,75,7.6,5,69.82
9.7,55,48,87,6.1,3,66.45
4.4,57,74,69,8.3,1,54.22
3.6,72,59,62,8.4,5,55.42
8.8,96,88,81,8.4,9,90.32
3.0,75,81,83,8.7,9,68.26
9.7,95,74,53,6.0,4,80.9
1.1,92,89,53,8.0,3,65.83
9.7,61,57,41,6.8,1,60.96
1.4,75,56,94,8.4,2,54.11
9.0,62,63,76,7.9,8,78.59
5.7,89,42,44,8.1,1,61.09
9.9,67,71,77,7.6,8,82.8
1.7,74,74,84,5.7,7,55.94
6.0,82,77,80,7.2,8,76.36
9.7,96,52,93,8.9,6,83.05
5.7,89,86,99,8.7,9,87.46
6.7,92,64,100,5.2,3,72.39
7.3,61,48,86,5.7,10,59.17
5.1,93,43,53,5.5,4,60.9
6.6,85,53,95,7.9,6,59.91
6.3,97,76,78,8.3,8,74.24
9.1,53,73,64,5.9,5,64.73
1.4,54,50,59,7.0,3,38.45
3.5,86,80,41,8.4,6,57.6
9.6,57,42,78,7.9,4,73.54
9.0,91,67,45,7.2,9,78.65
5.1,98,68,56,7.4,3,64.49
6.6,77,48,98,7.0,4,74.67
3.5,80,42,64,6.2,7,49.34
2.7,58,64,96,7.3,7,54.71
5.2,100,73,67,7.8,4,74.87
4.2,78,51,41,8.5,6,57.2
6.3,63,81,74,7.5,3,66.35
1.7,89,48,76,8.0,6,50.57
9.8,90,54,44,5.6,2,75.9
9.9,71,79,40,6.8,8,65.5
